"id","campaignid","sample","family","genus","species","length","number","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Carcharhinidae","Galeocerdo","cuvier",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Dasyatidae","Taeniurops","meyeni",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Glaucosomatidae","Glaucosoma","buergeri",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Haemulidae","Diagramma","pictum labiosum",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Labridae","Bodianus","solatus",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Labridae","Bodianus","spp",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Labridae","Bodianus","vulpinus",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Labridae","Choerodon","rubescens",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Labridae","Coris","auricularis",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Labridae","Stethojulis","spp",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Labridae","Suezichthys","cyanolaemus",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Labridae","Unknown","na",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Lethrinidae","Gymnocranius","grandoculis",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Lethrinidae","Gymnocranius","spp",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Lethrinidae","Lethrinus","miniatus",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Lethrinidae","Lethrinus","nebulosus",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Lethrinidae","Lethrinus","ravus",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Lutjanidae","Pristipomoides","multidens",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Lutjanidae","Pristipomoides","spp",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Lutjanidae","Pristipomoides","typus",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Monacanthidae","Nelusetta","ayraud",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Mullidae","Parupeneus","chrysopleuron",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Mullidae","Parupeneus","spilurus",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Muraenidae","Gymnothorax","woodwardi",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Nemipteridae","Pentapodus","nagasakiensis",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Nemipteridae","Pentapodus","spp",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N"
