"campaignid","sample","family","genus","species","maxn"
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Labridae","Unknown","sp",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Lethrinidae","Lethrinus","nebulosus",3
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Mullidae","Parupeneus","spilurus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Pinguipedidae","Parapercis","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Pomacanthidae","Chaetodontoplus","personifer",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Pomacentridae","Chromis","spp",87
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Serranidae","Epinephelus","rivulatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Sparidae","Chrysophrys","auratus",11
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Carangidae","Seriola","hippos",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Carcharhinidae","Carcharhinus","plumbeus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Labridae","Bodianus","solatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Labridae","Choerodon","rubescens",3
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Labridae","Coris","auricularis",6
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Lethrinidae","Lethrinus","miniatus",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Lethrinidae","Lethrinus","nebulosus",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Nemipteridae","Pentapodus","nagasakiensis",3
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Nemipteridae","Pentapodus","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Pinguipedidae","Parapercis","nebulosa",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Scombridae","Scomberomorus","spp",6
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Serranidae","Epinephelus","rivulatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Sparidae","Chrysophrys","auratus",18
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Carangidae","Seriola","hippos",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Chaetodontidae","Chaetodon","assarius",3
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Labridae","Choerodon","rubescens",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Labridae","Coris","auricularis",24
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Labridae","Stethojulis","sp",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Labridae","Suezichthys","cyanolaemus",3
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Lethrinidae","Lethrinus","nebulosus",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Mullidae","Parupeneus","spilurus",3
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Muraenidae","Gymnothorax","woodwardi",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Pomacentridae","Chromis","spp",22
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Scaridae","Scarus","sp3",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Sparidae","Chrysophrys","auratus",3
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Carangidae","Seriola","hippos",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Carcharhinidae","Galeocerdo","cuvier",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Echeneidae","Unknown","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Haemulidae","Diagramma","pictum labiosum",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Labridae","Choerodon","rubescens",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Labridae","Coris","auricularis",44
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Labridae","Unknown","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Lethrinidae","Lethrinus","miniatus",10
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Lethrinidae","Lethrinus","nebulosus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Mullidae","Parupeneus","spilurus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Orectolobidae","Orectolobus","hutchinsi",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Pomacentridae","Chromis","spp",260
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Scaridae","Scarus","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.8","Ariidae","Netuma","thalassina",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.8","Carcharhinidae","Carcharhinus","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.8","Sphyrnidae","Sphyrna","lewini",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.9","Carangidae","Seriola","dumerili",1
